annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;63110;nc;nc;nc;nc;nc
2017;69260;nc;nc;nc;nc;nc
2017;69008;nc;nc;nc;nc;nc
2017;74480;nc;nc;nc;nc;nc
2017;69410;nc;nc;nc;nc;nc
2017;69520;nc;nc;nc;nc;nc
2017;69001;nc;nc;nc;nc;nc
2017;38750;nc;nc;nc;nc;nc
2017;69190;nc;nc;nc;nc;nc
2017;73570;nc;nc;nc;nc;nc
2017;38144;nc;nc;nc;nc;nc
2017;69310;nc;nc;nc;nc;nc
2017;69125;nc;nc;nc;nc;nc
2017;69350;nc;nc;nc;nc;nc
2017;01000;2000003;935.0;l;Non;Non
2017;01000;2000018;40.0;kg;Non;Non
2017;01000;2000071;1884.75;kg;Oui;Non
2017;01000;2000087;4.0;kg;Non;Non
2017;01000;2000122;1.19;l;Non;Non
2017;01000;2000125;560.8000000000002;kg;Oui;Non
2017;01000;2000201;14.47;l;Non;Non
2017;01000;2000205;0.3;kg;Non;Non
2017;01000;2000461;385.0;l;Non;Non
2017;01000;2000536;3.0;kg;Non;Non
2017;01000;2010023;2.0;l;Non;Non
2017;01000;2010035;349.19999999999993;l;Oui;Non
2017;01000;2010047;70.0;l;Non;Non
2017;01000;2010239;50.0;l;Non;Non
2017;01000;2010315;0.8;kg;Non;Non
2017;01000;2010321;96.00000000000001;l;Oui;Non
2017;01000;2010415;60.0;l;Non;Non
2017;01000;2010419;262.80000000000007;kg;Non;Non
2017;01000;2010493;39.309999999999995;kg;Oui;Non
2017;01000;2010509;81.99999999999999;kg;Oui;Non
2017;01000;2010512;0.12;l;Oui;Non
2017;01000;2020003;0.35;kg;Oui;Non
2017;01000;2020065;0.7000000000000001;kg;Oui;Non
2017;01000;2020241;0.5;kg;Non;Non
2017;01000;2020448;0.28;l;Oui;Non
2017;01000;2030110;390.0;kg;Non;Non
2017;01000;2030125;36.089999999999996;l;Oui;Non
2017;01000;2030175;0.24;kg;Oui;Non
2017;01000;2030255;290.0;l;Non;Non
2017;01000;2030323;66.58;l;Non;Non
2017;01000;2030332;72.5;l;Oui;Non
2017;01000;2040109;25.5;kg;Non;Non
2017;01000;2040146;13.95;l;Non;Non
2017;01000;2040195;3.0;l;Non;Non
2017;01000;2040348;1.0;kg;Non;Non
2017;01000;2050046;2.0;kg;Non;Non
2017;01000;2050145;446.99999999999994;l;Oui;Non
2017;01000;2050146;834.4999999999995;l;Oui;Non
2017;01000;2060002;1.0;l;Non;Non
2017;01000;2060026;0.1;kg;Non;Non
2017;01000;2060088;2700.0;l;Non;Non
2017;01000;2060113;1.0;l;Non;Non
2017;01000;2060127;42.81;l;Non;Non
2017;01000;2060131;868.0;l;Oui;Non
2017;01000;2060194;2292.0;kg;Non;Non
2017;01000;2080018;54.37;l;Oui;Non
2017;01000;2080029;6.0;l;Non;Non
2017;01000;2080053;66.0;l;Oui;Non
2017;01000;2080054;36.9;l;Oui;Non
2017;01000;2080094;34.0;kg;Non;Non
2017;01000;2080098;20.0;l;Oui;Non
2017;01000;2080105;40.0;l;Non;Non
2017;01000;2080112;3.8899999999999997;l;Non;Non
2017;01000;2080129;1.0;l;Non;Non
2017;01000;2080136;1.0;kg;Non;Non
2017;01000;2090008;302.16999999999996;l;Non;Non
2017;01000;2090011;470.0;l;Non;Non
2017;01000;2090024;145.0;l;Non;Non
2017;01000;2090037;918.0;kg;Non;Non
2017;01000;2090041;432.0;kg;Non;Non
2017;01000;2090044;43.5;l;Oui;Non
2017;01000;2090045;8.0;l;Oui;Non
2017;01000;2090050;28886.0;kg;Non;Non
2017;01000;2090064;180.0;l;Non;Non
2017;01000;2090068;100.0;l;Non;Non
2017;01000;2090072;0.4;kg;Non;Non
2017;01000;2090080;1335.0;l;Non;Non
2017;01000;2090113;20.0;l;Non;Non
2017;01000;2090117;160.0;l;Non;Non
2017;01000;2090118;4940.0;l;Non;Non
2017;01000;2090119;10.0;l;Non;Non
2017;01000;2090146;96.0;l;Oui;Non
2017;01000;2090153;108.0;kg;Non;Non
2017;01000;2090160;380.0;l;Non;Non
2017;01000;2090162;5.0;l;Non;Non
2017;01000;2090164;2402.5;l;Oui;Non
2017;01000;2090176;710.0;l;Oui;Non
2017;01000;2090178;36.0;l;Oui;Non
2017;01000;2090199;7.0;l;Oui;Non
2017;01000;2100004;52.8;l;Oui;Non
2017;01000;2100009;25.56;kg;Non;Non
2017;01000;2100015;0.54;kg;Non;Non
2017;01000;2100016;10.0;kg;Non;Non
2017;01000;2100026;45.0;l;Non;Non
2017;01000;2100030;280.0;kg;Non;Non
2017;01000;2100051;16.32;l;Non;Non
2017;01000;2100052;15.0;l;Non;Non
2017;01000;2100078;9.9;l;Oui;Non
2017;01000;2100108;2630.0;l;Non;Non
2017;01000;2100111;180.0;l;Non;Non
2017;01000;2100121;39.2;l;Non;Non
2017;01000;2100138;1200.0;l;Non;Non
2017;01000;2100151;57.61;l;Non;Non
2017;01000;2100165;61.99999999999998;l;Oui;Non
2017;01000;2100175;6.289999999999999;l;Non;Non
2017;01000;2100179;20.0;l;Non;Non
2017;01000;2100204;96.0;l;Non;Non
2017;01000;2100234;300.0;l;Non;Non
2017;01000;2110013;123.0;l;Non;Non
2017;01000;2110018;19.340000000000003;l;Non;Non
2017;01000;2110083;11.25;l;Oui;Non
2017;01000;2110084;75.5;l;Oui;Non
2017;01000;2110102;2357.0399999999995;l;Non;Non
2017;01000;2110104;18.0;l;Non;Non
2017;01000;2110109;11100.0;l;Non;Non
2017;01000;2110111;160.0;l;Non;Non
2017;01000;2110121;370.54;l;Non;Non
2017;01000;2110149;20.4;l;Oui;Non
2017;01000;2110150;11.6;l;Oui;Non
2017;01000;2110159;25.549999999999997;l;Oui;Non
2017;01000;2110170;110.0;l;Non;Non
2017;01000;2110177;7590.0;l;Non;Non
2017;01000;2110178;620.0;l;Non;Non
2017;01000;2110180;14.63;kg;Oui;Non
2017;01000;2110201;2805.0;l;Non;Non
2017;01000;2120015;0.6;l;Oui;Non
2017;01000;2120018;165.75;l;Oui;Non
2017;01000;2120034;6620.0;l;Non;Non
2017;01000;2120048;830.0;l;Non;Non
2017;01000;2120063;4.800000000000001;l;Oui;Non
2017;01000;2120075;30.0;l;Non;Non
2017;01000;2120089;27.0;l;Non;Non
2017;01000;2120116;180.0;l;Oui;Non
2017;01000;2120120;10.0;l;Non;Non
2017;01000;2120133;178.68;l;Oui;Non
2017;01000;2120157;221.4;l;Oui;Non
2017;01000;2120159;21.92;l;Non;Non
2017;01000;2120194;59.9;kg;Non;Non
2017;01000;2130040;12.72;l;Oui;Non
2017;01000;2130061;360.0;l;Non;Non
2017;01000;2130068;8.0;l;Non;Non
2017;01000;2130075;9380.0;kg;Non;Non
2017;01000;2130081;160.0;kg;Non;Non
2017;01000;2130083;130.0;l;Non;Non
2017;01000;2130093;112.0;l;Oui;Non
2017;01000;2130140;740.0;l;Non;Non
2017;01000;2130153;48.0;l;Oui;Non
2017;01000;2130266;40.0;l;Non;Non
2017;01000;2140018;95.0;l;Non;Non
2017;01000;2140039;1365.0800000000002;l;Non;Non
2017;01000;2140060;860.0;l;Non;Non
2017;01000;2140085;1.0;l;Non;Non
2017;01000;2140088;880.0;l;Non;Non
2017;01000;2140121;0.91;l;Oui;Non
2017;01000;2140134;19.5;kg;Oui;Non
2017;01000;2140160;20.0;l;Non;Non
2017;01000;2140173;1736.0;l;Non;Non
