annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;25630;nc;nc;nc;nc;nc
2017;39520;nc;nc;nc;nc;nc
2017;25111;nc;nc;nc;nc;nc
2017;25930;nc;nc;nc;nc;nc
2017;25960;nc;nc;nc;nc;nc
2017;25113;nc;nc;nc;nc;nc
2017;25460;nc;nc;nc;nc;nc
2017;21000;1030003;0.08;l;Oui;Non
2017;21000;2000017;0.02;l;Oui;Non
2017;21000;2000018;714.6;kg;Non;Non
2017;21000;2000071;78.75;kg;Oui;Non
2017;21000;2000125;3.5;kg;Oui;Non
2017;21000;2000201;71.3;l;Non;Non
2017;21000;2000205;1.7999999999999998;kg;Non;Non
2017;21000;2000294;27.200000000000003;kg;Non;Non
2017;21000;2000299;2.0;l;Non;Non
2017;21000;2000316;16.5;l;Non;Non
2017;21000;2000461;5.0;l;Non;Non
2017;21000;2000510;60.0;kg;Oui;Non
2017;21000;2000517;3.0;l;Non;Non
2017;21000;2010035;6.9;l;Oui;Non
2017;21000;2010118;3.96;kg;Oui;Non
2017;21000;2010280;8.0;l;Non;Non
2017;21000;2010315;0.8;kg;Non;Non
2017;21000;2010398;2.1;kg;Non;Non
2017;21000;2010410;6.75;kg;Oui;Non
2017;21000;2010415;665.0;l;Non;Non
2017;21000;2010419;123.0;kg;Non;Non
2017;21000;2010427;21.5;l;Non;Non
2017;21000;2010493;0.13;kg;Oui;Non
2017;21000;2010495;315.0;kg;Non;Non
2017;21000;2010509;1.6;kg;Oui;Non
2017;21000;2020014;20.0;l;Non;Non
2017;21000;2020047;100.0;l;Oui;Non
2017;21000;2020065;0.02;kg;Oui;Non
2017;21000;2020099;39.7;l;Non;Non
2017;21000;2020110;86.72;kg;Non;Non
2017;21000;2020119;20.0;l;Oui;Non
2017;21000;2020474;10.0;l;Non;Non
2017;21000;2030125;1.34;l;Oui;Non
2017;21000;2030175;1.3900000000000001;kg;Oui;Non
2017;21000;2030255;50.0;l;Non;Non
2017;21000;2030323;1.87;l;Non;Non
2017;21000;2030332;1.0;l;Oui;Non
2017;21000;2030404;20.0;l;Non;Non
2017;21000;2040109;7.5;kg;Non;Non
2017;21000;2040141;15.0;l;Non;Non
2017;21000;2050075;5.0;kg;Non;Non
2017;21000;2050145;0.86;l;Oui;Non
2017;21000;2050146;41.6;l;Oui;Non
2017;21000;2060002;0.08;l;Non;Non
2017;21000;2060050;10.830000000000002;l;Non;Non
2017;21000;2060085;2.42;l;Non;Non
2017;21000;2060098;2.6;l;Non;Non
2017;21000;2060115;40.0;l;Non;Non
2017;21000;2060127;118.8;l;Non;Non
2017;21000;2060131;10.0;l;Oui;Non
2017;21000;2070221;60.0;l;Non;Non
2017;21000;2080018;3.15;l;Oui;Non
2017;21000;2080054;0.9;l;Oui;Non
2017;21000;2080100;2.2;kg;Non;Non
2017;21000;2080109;1.32;l;Non;Non
2017;21000;2080112;0.3;l;Non;Non
2017;21000;2080121;53.28;kg;Non;Non
2017;21000;2080129;0.8400000000000001;l;Non;Non
2017;21000;2080145;242.0;l;Non;Non
2017;21000;2090001;1.24;l;Non;Non
2017;21000;2090008;0.02;l;Non;Non
2017;21000;2090016;60.0;l;Non;Non
2017;21000;2090037;4.0;kg;Non;Non
2017;21000;2090041;28.0;kg;Non;Non
2017;21000;2090063;0.18;kg;Non;Non
2017;21000;2090072;2.75;kg;Non;Non
2017;21000;2090090;4.0;l;Non;Non
2017;21000;2090096;115.0;l;Non;Non
2017;21000;2090111;40.0;l;Non;Non
2017;21000;2090112;390.0;l;Non;Non
2017;21000;2090119;32.8;l;Non;Non
2017;21000;2090126;76.03999999999999;l;Non;Non
2017;21000;2090132;15.3;l;Non;Non
2017;21000;2090138;162.0;kg;Non;Non
2017;21000;2090146;6.0;l;Oui;Non
2017;21000;2090149;5.0;l;Non;Non
2017;21000;2090160;120.0;l;Non;Non
2017;21000;2090162;45.0;l;Non;Non
2017;21000;2090164;57.0;l;Oui;Non
2017;21000;2090170;193.5;kg;Non;Non
2017;21000;2090199;2.5;l;Oui;Non
2017;21000;2100001;34.34;l;Non;Non
2017;21000;2100004;2.4000000000000004;l;Oui;Non
2017;21000;2100028;5.0;l;Non;Non
2017;21000;2100030;20.0;kg;Non;Non
2017;21000;2100051;1600.0;l;Non;Non
2017;21000;2100052;215.0;l;Non;Non
2017;21000;2100056;10.0;l;Non;Non
2017;21000;2100078;6.4;l;Oui;Non
2017;21000;2100108;40.0;l;Non;Non
2017;21000;2100121;4.3;l;Non;Non
2017;21000;2100138;129.0;l;Non;Non
2017;21000;2100165;1.28;l;Oui;Non
2017;21000;2100178;3.96;kg;Non;Non
2017;21000;2100181;142.86;kg;Non;Non
2017;21000;2100221;216.06000000000006;kg;Non;Non
2017;21000;2100231;2.64;kg;Non;Non
2017;21000;2110018;2.6;l;Non;Non
2017;21000;2110073;0.3;l;Non;Non
2017;21000;2110078;10.0;l;Non;Non
2017;21000;2110084;2.0;l;Oui;Non
2017;21000;2110090;25.0;l;Non;Non
2017;21000;2110095;90.0;l;Non;Non
2017;21000;2110102;225.90000000000003;l;Non;Non
2017;21000;2110105;20.0;l;Non;Non
2017;21000;2110147;16.55;kg;Non;Non
2017;21000;2110149;3.2;l;Oui;Non
2017;21000;2110150;2.6;l;Oui;Non
2017;21000;2110151;525.0;l;Non;Non
2017;21000;2110167;30.0;l;Non;Non
2017;21000;2110177;1590.0;l;Non;Non
2017;21000;2110178;397.0;l;Non;Non
2017;21000;2110180;0.1;kg;Oui;Non
