annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;56640;nc;nc;nc;nc;nc
2017;56470;nc;nc;nc;nc;nc
2017;56750;nc;nc;nc;nc;nc
2017;56570;nc;nc;nc;nc;nc
2017;22750;nc;nc;nc;nc;nc
2017;35870;nc;nc;nc;nc;nc
2017;56780;nc;nc;nc;nc;nc
2017;56510;nc;nc;nc;nc;nc
2017;35960;nc;nc;nc;nc;nc
2017;22870;nc;nc;nc;nc;nc
2017;56290;nc;nc;nc;nc;nc
2017;35780;nc;nc;nc;nc;nc
2017;22730;nc;nc;nc;nc;nc
2017;35114;nc;nc;nc;nc;nc
2017;56840;nc;nc;nc;nc;nc
2017;22000;2000003;5.0;l;Non;Non
2017;22000;2000299;3.0;l;Non;Non
2017;22000;2000380;6.0;l;Non;Non
2017;22000;2010019;3.0;l;Non;Non
2017;22000;2010023;5.0;l;Non;Non
2017;22000;2010035;9.0;l;Oui;Non
2017;22000;2010319;15.0;l;Oui;Non
2017;22000;2020047;5.0;l;Oui;Non
2017;22000;2040201;70.0;l;Non;Non
2017;22000;2040311;10.0;l;Non;Non
2017;22000;2050146;11.2;l;Oui;Non
2017;22000;2060088;60.0;l;Non;Non
2017;22000;2060098;10.0;l;Non;Non
2017;22000;2060115;10.0;l;Non;Non
2017;22000;2060127;3.44;l;Non;Non
2017;22000;2060194;84.0;kg;Non;Non
2017;22000;2080026;1.0;l;Non;Non
2017;22000;2080101;1.0;kg;Non;Non
2017;22000;2080102;20.0;l;Non;Non
2017;22000;2080117;0.05;kg;Non;Non
2017;22000;2080124;0.12;kg;Non;Non
2017;22000;2080125;0.5;kg;Non;Non
2017;22000;2080136;11.0;kg;Non;Non
2017;22000;2080145;10.0;l;Non;Non
2017;22000;2090057;1.5;kg;Non;Non
2017;22000;2090071;5.0;l;Non;Non
2017;22000;2090136;120.0;l;Non;Non
2017;22000;2090160;40.0;l;Non;Non
2017;22000;2090164;5.0;l;Oui;Non
2017;22000;2100009;1.08;kg;Non;Non
2017;22000;2100026;1.0;l;Non;Non
2017;22000;2100030;160.0;kg;Non;Non
2017;22000;2100041;50.0;l;Non;Non
2017;22000;2100056;10.0;l;Non;Non
2017;22000;2100057;100.0;l;Non;Non
2017;22000;2100111;40.0;l;Non;Non
2017;22000;2100114;8.0;kg;Non;Non
2017;22000;2100138;50.0;l;Non;Non
2017;22000;2100140;30.0;l;Non;Non
2017;22000;2100184;6.0;kg;Non;Non
2017;22000;2100234;80.0;l;Non;Non
2017;22000;2110013;18.0;l;Non;Non
2017;22000;2110095;15.0;l;Non;Non
2017;22000;2110154;160.0;l;Non;Non
2017;22000;2110177;45.0;l;Non;Non
2017;22000;2110178;10.0;l;Non;Non
2017;22000;2120018;2.4;l;Oui;Non
2017;22000;2120034;60.0;l;Non;Non
2017;22000;2120048;18.0;l;Non;Non
2017;22000;2120075;120.0;l;Non;Non
2017;22000;2120087;4.0;kg;Non;Non
2017;22000;2120120;10.0;l;Non;Non
2017;22000;2120133;7.7;l;Oui;Non
2017;22000;2120205;150.0;l;Non;Non
2017;22000;2120219;1.0;l;Non;Non
2017;22000;2130063;5.0;l;Non;Non
2017;22000;2130068;2.0;l;Non;Non
2017;22000;2130075;240.0;kg;Non;Non
2017;22000;2130079;0.5;l;Non;Non
2017;22000;2130082;20.0;kg;Non;Non
2017;22000;2130164;20.0;l;Non;Non
2017;22000;2130202;20.0;l;Non;Non
2017;22000;2140085;5.0;l;Non;Non
2017;22000;2140093;20.0;l;Non;Non
2017;22000;2140121;5.0;l;Oui;Non
2017;22000;2140173;40.0;l;Non;Non
2017;22000;2140207;2.0;l;Non;Non
2017;22000;2140257;15.0;l;Non;Non
2017;22000;2150084;5.0;l;Non;Non
2017;22000;2150484;2.0;l;Non;Non
2017;22000;2160931;30.0;l;Non;Non
2017;22000;2169999;2.0;l;Non;Non
2017;22000;7400815;40.0;l;Non;Non
2017;22000;7500569;2.0;kg;Non;Non
2017;22000;7700078;10.0;l;Non;Non
2017;22000;7700706;1200.0;kg;Oui;Non
2017;22000;7800790;15.0;l;Non;Non
2017;22000;8400096;3.0;l;Non;Non
2017;22000;8400528;30.0;l;Non;Non
2017;22000;8400574;10.0;l;Non;Non
2017;22000;8800395;280.0;l;Non;Non
2017;22000;8900564;2.0;l;Non;Non
2017;22000;8900681;10.0;l;Non;Non
2017;22000;9000184;45.0;l;Non;Non
2017;22000;9000361;0.8;kg;Oui;Non
2017;22000;9100231;2.0;kg;Oui;Non
2017;22000;9100296;10.0;l;Non;Non
2017;22000;9200078;20.0;l;Non;Non
2017;22000;9200135;0.4;kg;Oui;Non
