annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;20135;nc;nc;nc;nc;nc
2017;20145;nc;nc;nc;nc;nc
2017;20247;nc;nc;nc;nc;nc
2017;20287;nc;nc;nc;nc;nc
2017;20164;nc;nc;nc;nc;nc
2017;20000;2000125;0.7;kg;Oui;Non
2017;20000;2000476;2000.0;l;Non;Non
2017;20000;2010019;1.0;l;Non;Non
2017;20000;2010441;60.0;l;Non;Non
2017;20000;2030332;120.0;l;Oui;Non
2017;20000;2050046;1.5;kg;Non;Non
2017;20000;2080038;5.0;l;Non;Non
2017;20000;2080101;6.0;kg;Non;Non
2017;20000;2100095;260.0;l;Non;Non
2017;20000;2110086;20.0;l;Non;Non
2017;20000;2120034;260.0;l;Non;Non
2017;20000;2120086;170.0;l;Non;Non
2017;20000;2120159;0.03;l;Non;Non
2017;20000;2140085;20.0;l;Non;Non
2017;20000;2140121;0.91;l;Oui;Non
2017;20000;8600269;2355.0;l;Non;Non
2017;20000;9000471;55.0;l;Non;Non
2017;20000;9000490;20.0;l;Non;Non
2017;20000;9100296;100.0;l;Non;Non
2017;20000;9200062;0.5;kg;Non;Non
2017;20000;9300504;100.0;l;Non;Non
2017;20000;9400162;40.0;l;Non;Non
2017;20000;9600025;24.0;kg;Non;Non
2017;20000;9700027;2.0;kg;Non;Non
2017;20000;9700214;1.2;kg;Non;Non
2017;20000;9800201;300.0;l;Non;Non
2017;20000;9800245;20.0;kg;Non;Non
2017;20000;9800336;4.0;l;Non;Non
2017;20000;9800474;30.0;kg;Non;Non
2017;20000;9900119;2.8;kg;Oui;Non
2017;20000;9900242;20.0;kg;Non;Non
2017;20000;9900354;10.0;kg;Non;Non
2017;20000;9900417;80.0;l;Non;Non
2017;20090;2010023;131.0;l;Non;Non
2017;20090;2010158;900.0;l;Non;Non
2017;20090;2010398;10.0;kg;Non;Non
2017;20090;2010530;4.0;l;Oui;Non
2017;20090;2020241;6.5;kg;Non;Non
2017;20090;2030292;120.0;kg;Non;Non
2017;20090;2030332;6.0;l;Oui;Non
2017;20090;2040193;33.0;l;Non;Non
2017;20090;2060045;106.0;kg;Oui;Non
2017;20090;2060084;10.0;kg;Non;Non
2017;20090;2060132;3.0;l;Non;Non
2017;20090;2070133;20.0;l;Non;Non
2017;20090;2090080;5.0;l;Non;Non
2017;20090;2090130;180.0;kg;Non;Non
2017;20090;2090199;4.0;l;Oui;Non
2017;20090;2100038;2300.0;kg;Non;Non
2017;20090;2110141;10.0;l;Non;Non
2017;20090;2120034;240.0;l;Non;Non
2017;20090;2140255;40.0;l;Non;Non
2017;20090;8400528;10.0;l;Non;Non
2017;20090;8900681;5.0;l;Non;Non
2017;20090;9000471;210.0;l;Non;Non
2017;20090;9200532;10.0;l;Oui;Non
2017;20090;9300186;1.0;kg;Non;Non
2017;20090;9300189;56.0;l;Oui;Non
2017;20090;9400485;380.0;l;Non;Non
2017;20090;9500150;2.0;l;Non;Non
2017;20090;9500568;2.0;kg;Non;Non
2017;20090;9700164;5.0;kg;Non;Non
2017;20090;9700216;58.0;l;Non;Non
2017;20090;9800289;0.5;l;Non;Non
2017;20090;9800336;26.0;l;Non;Non
2017;20090;9800420;150.0;l;Non;Non
2017;20100;2000010;2050.0;l;Non;Non
2017;20100;2000018;500.0;kg;Non;Non
2017;20100;2000517;40.0;l;Non;Non
2017;20100;2010023;15.0;l;Non;Non
2017;20100;2010509;132.2;kg;Oui;Non
2017;20100;2020219;4.0;l;Non;Non
