annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;67980;nc;nc;nc;nc;nc
2017;68850;nc;nc;nc;nc;nc
2017;68460;nc;nc;nc;nc;nc
2017;67206;nc;nc;nc;nc;nc
2017;08410;nc;nc;nc;nc;nc
2017;54340;nc;nc;nc;nc;nc
2017;57540;nc;nc;nc;nc;nc
2017;54240;nc;nc;nc;nc;nc
2017;54940;nc;nc;nc;nc;nc
2017;57525;nc;nc;nc;nc;nc
2017;54970;nc;nc;nc;nc;nc
2017;54111;nc;nc;nc;nc;nc
2017;57255;nc;nc;nc;nc;nc
2017;57855;nc;nc;nc;nc;nc
2017;54430;nc;nc;nc;nc;nc
2017;54310;nc;nc;nc;nc;nc
2017;57360;nc;nc;nc;nc;nc
2017;57180;nc;nc;nc;nc;nc
2017;57240;nc;nc;nc;nc;nc
2017;57490;nc;nc;nc;nc;nc
2017;57175;nc;nc;nc;nc;nc
2017;54440;nc;nc;nc;nc;nc
2017;54960;nc;nc;nc;nc;nc
2017;54130;nc;nc;nc;nc;nc
2017;54590;nc;nc;nc;nc;nc
2017;54660;nc;nc;nc;nc;nc
2017;08000;2000201;1.37;l;Non;Non
2017;08000;2000294;1.08;kg;Non;Non
2017;08000;2000424;12.0;l;Oui;Non
2017;08000;2010132;3.0;kg;Non;Non
2017;08000;2010239;20.0;l;Non;Non
2017;08000;2010315;0.1;kg;Non;Non
2017;08000;2010415;1.41;l;Non;Non
2017;08000;2020003;10.0;kg;Oui;Non
2017;08000;2020110;1.54;kg;Non;Non
2017;08000;2030323;27.15;l;Non;Non
2017;08000;2050146;0.5;l;Oui;Non
2017;08000;2060050;3.33;l;Non;Non
2017;08000;2060063;0.5;kg;Non;Non
2017;08000;2060088;180.0;l;Non;Non
2017;08000;2060127;1.09;l;Non;Non
2017;08000;2060131;114.0;l;Oui;Non
2017;08000;2080054;0.9;l;Oui;Non
2017;08000;2080062;0.62;kg;Non;Non
2017;08000;2080063;4.26;kg;Non;Non
2017;08000;2080103;5.0;l;Non;Non
2017;08000;2080105;105.0;l;Non;Non
2017;08000;2080112;94.05000000000001;l;Non;Non
2017;08000;2080117;0.3;kg;Non;Non
2017;08000;2080129;1.83;l;Non;Non
2017;08000;2080145;40.0;l;Non;Non
2017;08000;2090053;105.0;l;Non;Non
2017;08000;2090057;2.1;kg;Non;Non
2017;08000;2090061;3.0;kg;Non;Non
2017;08000;2090080;5.0;l;Non;Non
2017;08000;2090118;80.0;l;Non;Non
2017;08000;2090119;0.54;l;Non;Non
2017;08000;2090126;18.24;l;Non;Non
2017;08000;2090127;20.0;l;Non;Non
2017;08000;2090132;1.66;l;Non;Non
2017;08000;2090160;180.0;l;Non;Non
2017;08000;2090162;100.0;l;Non;Non
2017;08000;2090163;60.0;l;Non;Non
2017;08000;2090164;13.0;l;Oui;Non
2017;08000;2090188;20.0;l;Non;Non
2017;08000;2100001;43.3;l;Non;Non
2017;08000;2100018;6.0;l;Non;Non
2017;08000;2100028;5.0;l;Non;Non
2017;08000;2100030;120.0;kg;Non;Non
2017;08000;2100069;1.0;kg;Non;Non
2017;08000;2100108;40.0;l;Non;Non
2017;08000;2100138;50.0;l;Non;Non
2017;08000;2100178;1.29;kg;Non;Non
2017;08000;2100181;104.86000000000001;kg;Non;Non
2017;08000;2100204;120.0;l;Non;Non
2017;08000;2100221;86.41999999999999;kg;Non;Non
2017;08000;2100231;0.63;kg;Non;Non
2017;08000;2110102;0.8400000000000001;l;Non;Non
2017;08000;2110109;180.0;l;Non;Non
2017;08000;2110147;1.0;kg;Non;Non
2017;08000;2110177;30.0;l;Non;Non
2017;08000;2110197;0.22;l;Non;Non
2017;08000;2120008;235.0;l;Oui;Non
2017;08000;2120041;3.5;l;Non;Non
2017;08000;2120066;120.0;l;Non;Non
2017;08000;2120132;4.46;kg;Non;Non
2017;08000;2120159;34.45;l;Non;Non
2017;08000;2120160;5.0;l;Non;Non
2017;08000;2130049;1.54;l;Non;Non
2017;08000;2130063;5.0;l;Non;Non
2017;08000;2130088;9.6;kg;Oui;Non
2017;08000;2130152;6.4399999999999995;l;Non;Non
2017;08000;2130202;40.0;l;Non;Non
2017;08000;2140039;104.08000000000001;l;Non;Non
2017;08000;2140086;0.96;kg;Non;Non
2017;08000;2140121;1.82;l;Oui;Non
2017;08000;2140148;6.0;l;Non;Non
2017;08000;2140173;20.0;l;Non;Non
2017;08000;2140215;4.22;kg;Non;Non
2017;08000;2140252;1.95;kg;Oui;Non
2017;08000;2140254;60.0;l;Non;Non
2017;08000;2140257;150.0;l;Non;Non
2017;08000;2160487;8.0;l;Oui;Non
2017;08000;2160931;15.0;l;Non;Non
2017;08000;2160960;10.0;l;Non;Non
2017;08000;2160963;0.13;l;Non;Non
2017;08000;7900323;10.0;l;Non;Non
2017;08000;8000084;10.0;l;Non;Non
2017;08000;8400096;17.0;l;Non;Non
2017;08000;8400528;3.67;l;Non;Non
2017;08000;8500351;0.35;kg;Non;Non
2017;08000;8600031;40.0;l;Non;Non
2017;08000;8800603;15.0;l;Non;Non
2017;08000;8800841;0.5;l;Non;Non
2017;08000;9000184;15.0;l;Non;Non
2017;08000;9000222;20.39;l;Non;Non
2017;08000;9000471;29.53;l;Non;Non
2017;08000;9000490;60.0;l;Non;Non
2017;08000;9000833;40.0;l;Non;Non
2017;08000;9100296;5.0;l;Non;Non
2017;08000;9200215;2.54;kg;Non;Non
2017;08000;9200293;100.0;l;Non;Non
2017;08000;9200392;48.0;l;Non;Non
2017;08000;9200436;12.38;l;Non;Non
2017;08000;9300189;6.0;l;Oui;Non
2017;08000;9300309;2.0;l;Non;Non
2017;08000;9400008;17.28;l;Non;Non
2017;08000;9400012;4.0;l;Non;Non
2017;08000;9400280;0.62;kg;Non;Non
2017;08000;9400485;2.56;l;Non;Non
2017;08000;9500040;15.0;l;Non;Non
2017;08000;9500135;40.0;kg;Oui;Non
2017;08000;9500581;10.0;l;Non;Non
2017;08000;9500649;120.0;kg;Non;Non
2017;08000;9600056;0.4;kg;Non;Non
2017;08000;9600319;10.0;l;Oui;Non
2017;08000;9600368;5.6;kg;Non;Non
2017;08000;9600550;80.0;l;Non;Non
2017;08000;9700065;3.0;l;Non;Non
2017;08000;9700070;1.1600000000000001;kg;Non;Non
2017;08000;9800244;0.74;kg;Non;Non
2017;08000;9800344;50.8;l;Non;Non
2017;08000;9800400;36.24;kg;Non;Non
2017;08000;9800420;2.1100000000000003;l;Non;Non
2017;08000;9800421;0.18;l;Non;Non
2017;08000;9800481;6.0;l;Oui;Non
2017;08000;9900227;31.39;l;Non;Non
2017;08000;9900251;50.0;l;Non;Non
2017;08000;9900262;0.8;kg;Non;Non
2017;08090;1030003;5.0;l;Oui;Non
2017;08090;2000003;10.0;l;Non;Non
2017;08090;2000122;0.02;l;Non;Non
2017;08090;2000201;9.47;l;Non;Non
2017;08090;2000299;3.0;l;Non;Non
2017;08090;2000324;2.0;l;Non;Non
2017;08090;2000327;15.0;l;Non;Non
2017;08090;2000424;9.0;l;Oui;Non
2017;08090;2000447;6.0;kg;Non;Non
2017;08090;2010030;20.0;l;Non;Non
2017;08090;2010132;23.0;kg;Non;Non
2017;08090;2010280;142.0;l;Non;Non
2017;08090;2010315;2.0;kg;Non;Non
2017;08090;2010351;9.0;kg;Non;Non
2017;08090;2010425;0.2;kg;Non;Non
2017;08090;2010495;90.0;kg;Non;Non
2017;08090;2010613;20.0;l;Non;Non
2017;08090;2020099;30.0;l;Non;Non
2017;08090;2020234;1000.0;kg;Non;Non
2017;08090;2020474;24.0;l;Non;Non
2017;08090;2030255;155.0;l;Non;Non
2017;08090;2030323;164.18000000000004;l;Non;Non
2017;08090;2030332;240.0;l;Oui;Non
2017;08090;2030342;20.0;l;Non;Non
2017;08090;2030404;40.0;l;Non;Non
2017;08090;2040109;1.5;kg;Non;Non
2017;08090;2040146;2.98;l;Non;Non
2017;08090;2050075;37.5;kg;Non;Non
2017;08090;2060063;1.5;kg;Non;Non
2017;08090;2060088;660.0;l;Non;Non
2017;08090;2060115;290.0;l;Non;Non
2017;08090;2060118;90.0;l;Non;Non
2017;08090;2060127;4.58;l;Non;Non
2017;08090;2060131;138.0;l;Oui;Non
2017;08090;2060137;10.0;l;Non;Non
2017;08090;2060194;432.0;kg;Non;Non
2017;08090;2080026;65.0;l;Non;Non
2017;08090;2080103;115.0;l;Non;Non
2017;08090;2080105;40.0;l;Non;Non
2017;08090;2080112;330.14000000000004;l;Non;Non
2017;08090;2080117;1.8;kg;Non;Non
2017;08090;2080125;0.4;kg;Non;Non
2017;08090;2080136;1.0;kg;Non;Non
2017;08090;2080145;390.0;l;Non;Non
2017;08090;2090008;7.3;l;Non;Non
2017;08090;2090016;80.0;l;Non;Non
2017;08090;2090017;5.0;l;Non;Non
2017;08090;2090028;20.0;l;Non;Non
2017;08090;2090037;2.0;kg;Non;Non
2017;08090;2090041;0.4;kg;Non;Non
2017;08090;2090042;99.0;kg;Non;Non
2017;08090;2090053;435.0;l;Non;Non
2017;08090;2090057;4.2;kg;Non;Non
2017;08090;2090060;60.0;l;Non;Non
2017;08090;2090068;100.0;l;Non;Non
2017;08090;2090072;1.8;kg;Non;Non
2017;08090;2090101;15.0;l;Non;Non
2017;08090;2090111;5.95;l;Non;Non
2017;08090;2090113;260.0;l;Non;Non
2017;08090;2090117;70.0;l;Non;Non
2017;08090;2090118;500.0;l;Non;Non
2017;08090;2090136;20.0;l;Non;Non
2017;08090;2090149;35.0;l;Non;Non
2017;08090;2090153;28.0;kg;Non;Non
2017;08090;2090157;1.0;l;Non;Non
2017;08090;2090158;80.0;l;Non;Non
2017;08090;2090159;1.75;kg;Non;Non
2017;08090;2090160;660.0;l;Non;Non
2017;08090;2090164;120.0;l;Oui;Non
2017;08090;2090173;540.0;l;Non;Non
2017;08090;2090188;250.0;l;Non;Non
2017;08090;2100009;24.0;kg;Non;Non
2017;08090;2100026;10.0;l;Non;Non
2017;08090;2100028;80.0;l;Non;Non
2017;08090;2100030;1440.0;kg;Non;Non
2017;08090;2100051;57.56;l;Non;Non
2017;08090;2100052;15.0;l;Non;Non
2017;08090;2100053;5.0;l;Non;Non
2017;08090;2100056;40.0;l;Non;Non
2017;08090;2100069;2.0;kg;Non;Non
2017;08090;2100108;380.0;l;Non;Non
2017;08090;2100111;50.0;l;Non;Non
2017;08090;2100112;50.0;l;Non;Non
2017;08090;2100138;270.0;l;Non;Non
2017;08090;2100140;510.0;l;Non;Non
2017;08090;2100244;35.0;l;Non;Non
2017;08090;2110004;50.0;l;Non;Non
2017;08090;2110012;15.0;l;Non;Non
2017;08090;2110013;10.0;l;Non;Non
2017;08090;2110082;3.6;kg;Non;Non
2017;08090;2110090;20.0;l;Non;Non
2017;08090;2110102;81.89999999999999;l;Non;Non
2017;08090;2110104;120.0;l;Non;Non
2017;08090;2110109;420.0;l;Non;Non
2017;08090;2110121;26.25;l;Non;Non
2017;08090;2110151;1080.0;l;Non;Non
2017;08090;2110153;1240.0;l;Non;Non
2017;08090;2110170;150.0;l;Non;Non
2017;08090;2110177;15.0;l;Non;Non
2017;08090;2110181;135.0;l;Non;Non
2017;08090;2110198;340.0;l;Non;Non
2017;08090;2110201;90.0;l;Non;Non
2017;08090;2120008;172.5;l;Oui;Non
2017;08090;2120034;15.0;l;Non;Non
2017;08090;2120041;0.53;l;Non;Non
2017;08090;2120066;540.0;l;Non;Non
2017;08090;2120070;200.0;l;Non;Non
2017;08090;2120075;285.0;l;Non;Non
2017;08090;2120089;103.28999999999999;l;Non;Non
2017;08090;2120093;40.0;l;Non;Non
2017;08090;2120120;10.0;l;Non;Non
2017;08090;2120159;38.68;l;Non;Non
2017;08090;2120194;0.2;kg;Non;Non
2017;08090;2120195;75.0;kg;Non;Non
2017;08090;2120205;90.0;l;Non;Non
