annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;97110;2090127;25.0;l;Non;Non
2017;97110;8900564;15.0;l;Non;Non
2017;97110;9300504;100.0;l;Non;Non
2017;97118;1030003;5.0;l;Oui;Non
2017;97118;2070108;2.0;kg;Non;Non
2017;97118;2090063;0.32;kg;Non;Non
2017;97118;2090132;6.0;l;Non;Non
2017;97118;2100181;3.0;kg;Non;Non
2017;97118;2110147;1.0;kg;Non;Non
2017;97118;9000471;5.0;l;Non;Non
2017;97118;9800054;18.0;kg;Non;Non
2017;97118;9800245;20.0;kg;Non;Non
2017;97119;2010321;1.2;l;Oui;Non
2017;97125;2090060;10.0;l;Non;Non
2017;97125;2090160;20.0;l;Non;Non
2017;97125;2100037;2.0;l;Non;Non
2017;97160;2010427;130.0;l;Non;Non
2017;97160;2050046;12.0;kg;Non;Non
2017;97160;2060085;80.0;l;Non;Non
2017;97160;2090136;100.0;l;Non;Non
2017;97160;2110073;40.0;l;Non;Non
2017;97160;2110141;200.0;l;Non;Non
2017;97160;9200214;1000.0;kg;Non;Non
2017;97160;9500568;200.0;kg;Non;Non
2017;97160;9600025;198.0;kg;Non;Non
2017;97160;9800474;2010.0;kg;Non;Non
2017;97160;9900242;2000.0;kg;Non;Non
2017;97170;9800245;40.0;kg;Non;Non
2017;97170;9900133;2.68;l;Non;Non
