annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;97352;nc;nc;nc;nc;nc
2017;97351;2010513;131.0;kg;Non;Non
2017;97351;2040212;200.0;kg;Non;Non
2017;97351;2060098;16.0;l;Non;Non
2017;97351;2090094;50.0;kg;Non;Non
2017;97351;2090127;200.0;l;Non;Non
2017;97351;2140085;60.0;l;Non;Non
2017;97351;2160960;120.0;l;Non;Non
2017;97351;6300001;250.0;kg;Non;Non
2017;97351;8900156;1680.0;l;Non;Non
2017;97351;9500432;12.0;l;Non;Non
2017;97356;2060050;4.0;l;Non;Non
2017;97356;2080101;2.0;kg;Non;Non
2017;97356;2110073;2.0;l;Non;Non
2017;97356;2130079;1.0;l;Non;Non
2017;97356;7600008;2.0;l;Non;Non
2017;97356;8500194;1.0;l;Non;Non
2017;97356;9200313;1.0;l;Non;Non
2017;00000;2060098;0.5;l;Non;Non
2017;00000;2080105;5.0;l;Non;Non
