annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;95440;nc;nc;nc;nc;nc
2017;77138;nc;nc;nc;nc;nc
2017;77990;nc;nc;nc;nc;nc
2017;92000;nc;nc;nc;nc;nc
2017;77350;nc;nc;nc;nc;nc
2017;91770;nc;nc;nc;nc;nc
2017;91910;nc;nc;nc;nc;nc
2017;91450;nc;nc;nc;nc;nc
2017;93220;nc;nc;nc;nc;nc
2017;95820;nc;nc;nc;nc;nc
2017;92390;nc;nc;nc;nc;nc
2017;93170;nc;nc;nc;nc;nc
2017;94150;nc;nc;nc;nc;nc
2017;95320;nc;nc;nc;nc;nc
2017;95330;nc;nc;nc;nc;nc
2017;92310;nc;nc;nc;nc;nc
2017;78390;nc;nc;nc;nc;nc
2017;78780;nc;nc;nc;nc;nc
2017;92270;nc;nc;nc;nc;nc
2017;77680;nc;nc;nc;nc;nc
2017;78430;nc;nc;nc;nc;nc
2017;78960;nc;nc;nc;nc;nc
2017;77340;nc;nc;nc;nc;nc
2017;92230;nc;nc;nc;nc;nc
2017;78112;nc;nc;nc;nc;nc
2017;95160;nc;nc;nc;nc;nc
2017;95680;nc;nc;nc;nc;nc
2017;95670;nc;nc;nc;nc;nc
2017;95360;nc;nc;nc;nc;nc
2017;95390;nc;nc;nc;nc;nc
2017;94270;nc;nc;nc;nc;nc
2017;78180;nc;nc;nc;nc;nc
2017;93000;nc;nc;nc;nc;nc
2017;77144;nc;nc;nc;nc;nc
2017;78140;nc;nc;nc;nc;nc
2017;93150;nc;nc;nc;nc;nc
2017;92260;nc;nc;nc;nc;nc
2017;93430;nc;nc;nc;nc;nc
2017;93260;nc;nc;nc;nc;nc
2017;94380;nc;nc;nc;nc;nc
2017;92370;nc;nc;nc;nc;nc
2017;78750;nc;nc;nc;nc;nc
2017;93390;nc;nc;nc;nc;nc
2017;92340;nc;nc;nc;nc;nc
2017;78380;nc;nc;nc;nc;nc
2017;94250;nc;nc;nc;nc;nc
2017;94140;nc;nc;nc;nc;nc
2017;93190;nc;nc;nc;nc;nc
2017;94360;nc;nc;nc;nc;nc
2017;94800;nc;nc;nc;nc;nc
2017;91260;nc;nc;nc;nc;nc
2017;95170;nc;nc;nc;nc;nc
2017;95880;nc;nc;nc;nc;nc
2017;92170;nc;nc;nc;nc;nc
2017;92420;nc;nc;nc;nc;nc
2017;91070;nc;nc;nc;nc;nc
2017;93270;nc;nc;nc;nc;nc
2017;94340;nc;nc;nc;nc;nc
2017;77157;nc;nc;nc;nc;nc
2017;77880;nc;nc;nc;nc;nc
2017;92430;nc;nc;nc;nc;nc
2017;77360;nc;nc;nc;nc;nc
2017;77210;nc;nc;nc;nc;nc
2017;94310;nc;nc;nc;nc;nc
2017;93300;nc;nc;nc;nc;nc
2017;77186;nc;nc;nc;nc;nc
2017;93130;nc;nc;nc;nc;nc
2017;94200;nc;nc;nc;nc;nc
2017;92110;nc;nc;nc;nc;nc
2017;93120;nc;nc;nc;nc;nc
2017;94110;nc;nc;nc;nc;nc
2017;94510;nc;nc;nc;nc;nc
2017;91230;nc;nc;nc;nc;nc
2017;94460;nc;nc;nc;nc;nc
2017;91200;nc;nc;nc;nc;nc
2017;94490;nc;nc;nc;nc;nc
2017;91080;nc;nc;nc;nc;nc
2017;91440;nc;nc;nc;nc;nc
2017;92220;nc;nc;nc;nc;nc
2017;91940;nc;nc;nc;nc;nc
2017;94260;nc;nc;nc;nc;nc
2017;91420;nc;nc;nc;nc;nc
2017;91380;nc;nc;nc;nc;nc
2017;91350;nc;nc;nc;nc;nc
2017;78530;nc;nc;nc;nc;nc
2017;95250;nc;nc;nc;nc;nc
2017;92240;nc;nc;nc;nc;nc
2017;93340;nc;nc;nc;nc;nc
2017;78126;nc;nc;nc;nc;nc
2017;94160;nc;nc;nc;nc;nc
2017;93460;nc;nc;nc;nc;nc
2017;77430;nc;nc;nc;nc;nc
2017;77920;nc;nc;nc;nc;nc
2017;77870;nc;nc;nc;nc;nc
2017;77200;nc;nc;nc;nc;nc
2017;77164;nc;nc;nc;nc;nc
2017;93470;nc;nc;nc;nc;nc
2017;77177;nc;nc;nc;nc;nc
2017;77135;nc;nc;nc;nc;nc
2017;93350;nc;nc;nc;nc;nc
2017;93360;nc;nc;nc;nc;nc
2017;91560;nc;nc;nc;nc;nc
2017;93410;nc;nc;nc;nc;nc
2017;92380;nc;nc;nc;nc;nc
2017;78480;nc;nc;nc;nc;nc
2017;91860;nc;nc;nc;nc;nc
2017;91370;nc;nc;nc;nc;nc
2017;78850;nc;nc;nc;nc;nc
2017;78710;nc;nc;nc;nc;nc
2017;95550;nc;nc;nc;nc;nc
2017;93210;nc;nc;nc;nc;nc
2017;93320;nc;nc;nc;nc;nc
2017;95530;nc;nc;nc;nc;nc
2017;95120;nc;nc;nc;nc;nc
2017;95230;nc;nc;nc;nc;nc
2017;93400;nc;nc;nc;nc;nc
2017;92360;nc;nc;nc;nc;nc
2017;95180;nc;nc;nc;nc;nc
2017;95780;nc;nc;nc;nc;nc
2017;95370;nc;nc;nc;nc;nc
2017;77185;nc;nc;nc;nc;nc
2017;78620;nc;nc;nc;nc;nc
2017;94410;nc;nc;nc;nc;nc
2017;95140;nc;nc;nc;nc;nc
2017;75001;2000122;5.15;l;Non;Non
2017;75001;2000324;5.0;l;Non;Non
2017;75001;2000517;20.0;l;Non;Non
2017;75001;2010019;1.0;l;Non;Non
2017;75001;2010023;6.0;l;Non;Non
2017;75001;2010030;30.0;l;Non;Non
2017;75001;2010118;0.2;kg;Oui;Non
2017;75001;2010419;9.0;kg;Non;Non
2017;75001;2010531;6.0;l;Non;Non
2017;75001;2020003;20.0;kg;Oui;Non
2017;75001;2020241;4.0;kg;Non;Non
2017;75001;2030323;0.69;l;Non;Non
2017;75001;2030332;0.26;l;Oui;Non
2017;75001;2050146;2.6;l;Oui;Non
2017;75001;2060050;0.01;l;Non;Non
2017;75001;2060088;120.0;l;Non;Non
