annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;00000;1030003;173.97000000000003;l;Oui;Non
2017;00000;2000003;425.0;l;Non;Non
2017;00000;2000017;112.68000000000006;l;Oui;Non
2017;00000;2000018;24700.0;kg;Non;Non
2017;00000;2000044;838.0;l;Non;Non
2017;00000;2000046;40.0;l;Non;Non
2017;00000;2000071;82252.35000000012;kg;Oui;Non
2017;00000;2000080;362.0;l;Non;Non
2017;00000;2000089;30.0;kg;Oui;Non
2017;00000;2000101;190.0;l;Non;Non
2017;00000;2000105;39.91;kg;Oui;Non
2017;00000;2000122;3278.439999999999;l;Non;Non
2017;00000;2000125;20516.930000000037;kg;Oui;Non
2017;00000;2000150;2367.0;l;Oui;Non
2017;00000;2000191;800.16;l;Non;Non
2017;00000;2000195;60.0;kg;Non;Non
2017;00000;2000201;16472.540100000002;l;Non;Non
2017;00000;2000202;120.0;l;Non;Non
2017;00000;2000205;6.6;kg;Non;Non
2017;00000;2000210;10.0;l;Non;Non
2017;00000;2000214;2.0;l;Non;Non
2017;00000;2000228;0.5;kg;Oui;Non
2017;00000;2000294;182.0;kg;Non;Non
2017;00000;2000299;590.95;l;Non;Non
2017;00000;2000301;1360.0;l;Non;Non
2017;00000;2000307;10.0;l;Non;Non
2017;00000;2000316;36.0;l;Non;Non
2017;00000;2000324;148.0;l;Non;Non
2017;00000;2000327;1393.0;l;Non;Non
2017;00000;2000332;20.0;l;Non;Non
2017;00000;2000333;1410.0;l;Non;Non
2017;00000;2000338;820.0;kg;Non;Non
2017;00000;2000365;0.3;l;Oui;Non
2017;00000;2000366;0.75;l;Oui;Non
2017;00000;2000369;2.9;kg;Non;Non
2017;00000;2000380;3430.0;l;Non;Non
2017;00000;2000390;1530.0;kg;Oui;Non
2017;00000;2000391;130.0;l;Non;Non
2017;00000;2000416;4.0;l;Oui;Non
2017;00000;2000424;245.0;l;Oui;Non
2017;00000;2000447;453.0;kg;Non;Non
2017;00000;2000499;332.0;l;Non;Non
2017;00000;2000500;351.02;l;Oui;Non
2017;00000;2000502;89.0;l;Non;Non
2017;00000;2000510;49758.5;kg;Oui;Non
2017;00000;2000517;177.8;l;Non;Non
2017;00000;2000536;64.71000000000001;kg;Non;Non
2017;00000;2000538;1.1;l;Oui;Non
2017;00000;2010023;3047.0;l;Non;Non
2017;00000;2010025;2250.0;l;Non;Non
2017;00000;2010030;1140.0;l;Non;Non
2017;00000;2010035;42139.3200000001;l;Oui;Non
2017;00000;2010047;460.0;l;Non;Non
2017;00000;2010049;10.0;l;Non;Non
2017;00000;2010099;901.75;l;Oui;Non
2017;00000;2010100;1266.0;l;Oui;Non
2017;00000;2010101;18.75;l;Oui;Non
2017;00000;2010112;126.0;kg;Non;Non
2017;00000;2010118;496.4000000000001;kg;Oui;Non
2017;00000;2010123;250.0;kg;Oui;Non
2017;00000;2010130;523.4;kg;Non;Non
2017;00000;2010132;281.72;kg;Non;Non
2017;00000;2010139;412.74999999999994;l;Non;Non
2017;00000;2010158;3280.0;l;Non;Non
2017;00000;2010239;1028.0;l;Non;Non
2017;00000;2010240;1180.0;l;Non;Non
2017;00000;2010262;1640.0;l;Non;Non
2017;00000;2010275;93.0;kg;Oui;Non
2017;00000;2010280;3919.7400000000002;l;Non;Non
2017;00000;2010281;8.2;kg;Non;Non
2017;00000;2010282;969.0;l;Non;Non
2017;00000;2010284;0.12;l;Oui;Non
2017;00000;2010288;5.0;kg;Non;Non
2017;00000;2010289;30.0;l;Non;Non
2017;00000;2010290;62.8;l;Oui;Non
2017;00000;2010310;15.0;l;Non;Non
2017;00000;2010315;2.7;kg;Non;Non
2017;00000;2010319;13881.899999999987;l;Oui;Non
2017;00000;2010321;766.9799999999999;l;Oui;Non
2017;00000;2010324;130.2;kg;Oui;Non
2017;00000;2010326;20.0;l;Non;Non
2017;00000;2010335;94.44999999999999;l;Oui;Non
2017;00000;2010349;1170.0;l;Non;Non
2017;00000;2010351;1343.1000000000001;kg;Non;Non
2017;00000;2010378;369.0;l;Oui;Non
2017;00000;2010398;801.5799999999999;kg;Non;Non
2017;00000;2010410;6425.550000000003;kg;Oui;Non
2017;00000;2010415;979.0;l;Non;Non
2017;00000;2010419;363.0;kg;Non;Non
2017;00000;2010420;180.0;l;Oui;Non
2017;00000;2010425;12.0;kg;Non;Non
2017;00000;2010426;10.0;kg;Non;Non
2017;00000;2010427;20.0;l;Non;Non
2017;00000;2010432;0.48;l;Oui;Non
2017;00000;2010434;30.0;l;Oui;Non
2017;00000;2010439;768.6999999999998;l;Oui;Non
2017;00000;2010493;2172.1000000000013;kg;Oui;Non
2017;00000;2010495;337.0;kg;Non;Non
2017;00000;2010499;15.0;l;Non;Non
2017;00000;2010509;6976.2;kg;Oui;Non
2017;00000;2010512;36.599999999999994;l;Oui;Non
2017;00000;2010513;182.0;kg;Non;Non
2017;00000;2010525;6.0;kg;Non;Non
