annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;97410;2010023;60.0;l;Non;Non
2017;97410;2010349;120.0;l;Non;Non
2017;97410;2050046;65.0;kg;Non;Non
2017;97410;2070107;240.0;l;Non;Non
2017;97410;2080060;80.0;l;Non;Non
2017;97410;2080114;800.0;l;Non;Non
2017;97410;2090091;20.0;kg;Non;Non
2017;97410;2090136;700.0;l;Non;Non
2017;97410;2100026;80.0;l;Non;Non
2017;97410;2100030;200.0;kg;Non;Non
2017;97410;2120048;300.0;l;Non;Non
2017;97410;2130075;850.0;kg;Non;Non
2017;97410;7500569;50.0;kg;Non;Non
2017;97410;7600008;22.0;l;Non;Non
2017;97410;8800395;480.0;l;Non;Non
2017;97410;9000222;100.0;l;Non;Non
2017;97410;9200313;20.0;l;Non;Non
2017;97410;9500432;40.0;l;Non;Non
2017;97410;9500568;100.0;kg;Non;Non
2017;97410;9800106;100.0;kg;Non;Non
2017;97410;9800144;3.75;kg;Non;Non
2017;97410;9800210;40.0;l;Non;Non
2017;97410;9800336;230.0;l;Non;Non
2017;97410;9800484;5.0;l;Non;Non
2017;97410;9900227;170.0;l;Non;Non
2017;97410;9900242;100.0;kg;Non;Non
2017;97413;9900189;8.0;kg;Non;Non
2017;97414;2080038;1.0;l;Non;Non
2017;97423;9500135;0.5;kg;Oui;Non
2017;97434;2090033;0.2;l;Oui;Non
2017;97434;2090164;3.0;l;Oui;Non
