annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;97600;7400057;80.0;l;Non;Non
2017;97680;2050046;3.0;kg;Non;Non
2017;97680;2060098;1.0;l;Non;Non
2017;97680;2080019;1.0;l;Non;Non
2017;97680;2080060;1.0;l;Non;Non
2017;97680;2080101;5.0;kg;Non;Non
2017;97680;2090127;5.0;l;Non;Non
2017;97680;2100026;10.0;l;Non;Non
2017;97680;2100030;60.0;kg;Non;Non
2017;97680;2100122;1.0;kg;Non;Non
2017;97680;2100231;1.0;kg;Non;Non
2017;97680;2120069;10.0;kg;Non;Non
2017;97680;2130075;80.0;kg;Non;Non
2017;97680;2130092;2.0;l;Non;Non
2017;97680;8800395;10.0;l;Non;Non
2017;97680;8800841;4.0;l;Non;Non
2017;97680;9200214;100.0;kg;Non;Non
2017;97680;9700027;1.0;kg;Non;Non
2017;97680;9700332;10.0;l;Oui;Non
2017;97680;9800219;10.0;l;Non;Non
2017;97680;9800280;1.0;l;Non;Non
2017;97680;9800336;3.0;l;Non;Non
2017;97680;9900242;50.0;kg;Non;Non
