annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;27690;nc;nc;nc;nc;nc
2017;76980;nc;nc;nc;nc;nc
2017;76300;nc;nc;nc;nc;nc
2017;76310;nc;nc;nc;nc;nc
2017;27360;nc;nc;nc;nc;nc
2017;76200;nc;nc;nc;nc;nc
2017;27710;nc;nc;nc;nc;nc
2017;76117;nc;nc;nc;nc;nc
2017;76650;nc;nc;nc;nc;nc
2017;27740;nc;nc;nc;nc;nc
2017;27610;nc;nc;nc;nc;nc
2017;27920;nc;nc;nc;nc;nc
2017;14550;nc;nc;nc;nc;nc
2017;14650;nc;nc;nc;nc;nc
2017;14121;nc;nc;nc;nc;nc
2017;50740;nc;nc;nc;nc;nc
2017;14830;nc;nc;nc;nc;nc
2017;14750;nc;nc;nc;nc;nc
2017;14000;2000046;80.0;l;Non;Non
2017;14000;2000122;0.04;l;Non;Non
2017;14000;2010585;14.0;l;Non;Non
2017;14000;2020047;5.0;l;Oui;Non
2017;14000;2020226;40.0;l;Non;Non
2017;14000;2040146;0.72;l;Non;Non
2017;14000;2060129;50.0;kg;Non;Non
2017;14000;2060131;2.0;l;Oui;Non
2017;14000;2080049;1.2;l;Non;Non
2017;14000;2080105;80.0;l;Non;Non
2017;14000;2080136;1.0;kg;Non;Non
2017;14000;2080145;60.0;l;Non;Non
2017;14000;2090160;140.0;l;Non;Non
2017;14000;2090173;210.0;l;Non;Non
2017;14000;2100057;20.0;l;Non;Non
2017;14000;2100112;10.0;l;Non;Non
2017;14000;2100138;20.0;l;Non;Non
2017;14000;2100157;200.0;l;Non;Non
2017;14000;2100215;10.0;l;Non;Non
2017;14000;2110156;15.0;l;Non;Non
2017;14000;2110167;5.0;l;Non;Non
2017;14000;2110198;200.0;l;Non;Non
2017;14000;2120034;80.0;l;Non;Non
2017;14000;2120155;0.75;l;Oui;Non
2017;14000;2120159;0.19;l;Non;Non
2017;14000;2130105;1.0;kg;Non;Non
2017;14000;2130254;120.0;l;Non;Non
2017;14000;2140252;1.0;kg;Oui;Non
2017;14000;2150246;110.0;l;Non;Non
2017;14000;2150417;0.03;kg;Non;Non
2017;14000;6400401;5.0;kg;Non;Non
2017;14000;7400815;90.0;l;Non;Non
2017;14000;8000084;60.0;l;Non;Non
2017;14000;8100291;10.0;l;Non;Non
2017;14000;8100345;0.55;kg;Non;Non
2017;14000;8400520;60.0;kg;Non;Non
2017;14000;8400574;10.0;l;Non;Non
2017;14000;8500174;1.0;l;Non;Non
2017;14000;8600243;40.0;l;Non;Non
2017;14000;8700462;10.0;l;Non;Non
2017;14000;8800011;40.0;l;Non;Non
2017;14000;8800395;10.0;l;Non;Non
2017;14000;8800488;20.0;l;Non;Non
2017;14000;8800504;4.0;l;Non;Non
2017;14000;9000144;5.0;l;Non;Non
2017;14000;9000184;60.0;l;Non;Non
2017;14000;9000691;10.0;l;Non;Non
2017;14000;9000753;15.0;kg;Non;Non
2017;14000;9100156;620.0;l;Non;Non
2017;14000;9200073;1.0;kg;Non;Non
2017;14000;9200262;0.04;l;Non;Non
2017;14000;9500321;1.0;kg;Non;Non
2017;14000;9500628;6.0;kg;Non;Non
2017;14000;9700332;5.0;l;Oui;Non
2017;14000;9700369;40.0;l;Non;Non
2017;14000;9800235;5.0;l;Non;Non
2017;14000;9800330;3.0;kg;Non;Non
2017;14000;9800336;1.0;l;Non;Non
2017;14000;9800496;13.0;l;Non;Non
2017;14000;9900257;0.3;kg;Oui;Non
2017;14000;9900350;3.16;l;Non;Non
2017;14100;2000017;0.01;l;Oui;Non
2017;14100;2000018;200.0;kg;Non;Non
2017;14100;2000044;45.0;l;Non;Non
2017;14100;2000122;0.02;l;Non;Non
2017;14100;2000201;6.3500000000000005;l;Non;Non
2017;14100;2000202;260.0;l;Non;Non
2017;14100;2000299;16.0;l;Non;Non
2017;14100;2000316;36.0;l;Non;Non
2017;14100;2000324;2.0;l;Non;Non
2017;14100;2000369;0.1;kg;Non;Non
2017;14100;2000380;5.0;l;Non;Non
2017;14100;2000461;15.0;l;Non;Non
2017;14100;2010023;27.0;l;Non;Non
2017;14100;2010025;465.0;l;Non;Non
2017;14100;2010030;60.0;l;Non;Non
2017;14100;2010035;4.050000000000001;l;Oui;Non
2017;14100;2010130;10.0;kg;Non;Non
2017;14100;2010139;0.5;l;Non;Non
2017;14100;2010239;200.0;l;Non;Non
2017;14100;2010280;34.0;l;Non;Non
2017;14100;2010319;67.2;l;Oui;Non
2017;14100;2010349;15.0;l;Non;Non
2017;14100;2010351;16.8;kg;Non;Non
2017;14100;2010419;39.6;kg;Non;Non
2017;14100;2010493;1.38;kg;Oui;Non
2017;14100;2010531;210.0;l;Non;Non
2017;14100;2010618;3.6;kg;Oui;Non
2017;14100;2020003;4.0;kg;Oui;Non
2017;14100;2020047;40.0;l;Oui;Non
2017;14100;2020099;6.0;l;Non;Non
2017;14100;2020319;0.5;l;Oui;Non
2017;14100;2030073;15.0;kg;Non;Non
2017;14100;2030125;0.28;l;Oui;Non
