annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;34250;nc;nc;nc;nc;nc
2017;30125;nc;nc;nc;nc;nc
2017;09000;2000121;10.0;kg;Non;Non
2017;09000;2000294;2.1;kg;Non;Non
2017;09000;2010118;0.36;kg;Oui;Non
2017;09000;2060050;0.04;l;Non;Non
2017;09000;2060085;0.54;l;Non;Non
2017;09000;2060088;75.0;l;Non;Non
2017;09000;2080029;0.04;l;Non;Non
2017;09000;2080101;1.0;kg;Non;Non
2017;09000;2080112;0.43000000000000005;l;Non;Non
2017;09000;2090057;2.04;kg;Non;Non
2017;09000;2090080;5.0;l;Non;Non
2017;09000;2090113;80.0;l;Non;Non
2017;09000;2090126;5.46;l;Non;Non
2017;09000;2090190;0.1;l;Non;Non
2017;09000;2100001;0.8;l;Non;Non
2017;09000;2100009;2.0;kg;Non;Non
2017;09000;2100030;80.0;kg;Non;Non
2017;09000;2100065;0.2;kg;Non;Non
2017;09000;2100181;3.76;kg;Non;Non
2017;09000;2100204;15.0;l;Non;Non
2017;09000;2110018;2.4;l;Non;Non
2017;09000;2110111;20.0;l;Non;Non
2017;09000;2110143;1.0;l;Non;Non
2017;09000;2110147;0.05;kg;Non;Non
2017;09000;2110198;20.0;l;Non;Non
2017;09000;2120008;20.0;l;Oui;Non
2017;09000;2120034;20.0;l;Non;Non
2017;09000;2120048;48.0;l;Non;Non
2017;09000;2120117;160.0;l;Non;Non
2017;09000;2120132;0.4;kg;Non;Non
2017;09000;2130049;0.62;l;Non;Non
2017;09000;2130075;20.0;kg;Non;Non
2017;09000;2130152;0.04;l;Non;Non
2017;09000;2150067;0.2;l;Non;Non
2017;09000;2150102;20.0;l;Oui;Non
2017;09000;2160960;60.0;l;Non;Non
2017;09000;5100219;25.0;kg;Non;Non
2017;09000;7500540;32.0;kg;Oui;Non
2017;09000;8400528;0.35;l;Non;Non
2017;09000;8400600;2.0;l;Non;Non
2017;09000;8900681;5.0;l;Non;Non
2017;09000;9000222;0.6;l;Non;Non
2017;09000;9000471;6.05;l;Non;Non
2017;09000;9000490;0.15;l;Non;Non
2017;09000;9200078;5.0;l;Non;Non
2017;09000;9200548;0.6;l;Non;Non
