annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;49590;nc;nc;nc;nc;nc
2017;49112;nc;nc;nc;nc;nc
2017;44510;nc;nc;nc;nc;nc
2017;44620;nc;nc;nc;nc;nc
2017;44490;nc;nc;nc;nc;nc
2017;44000;1030003;0.04;l;Oui;Non
2017;44000;2000125;2.7;kg;Oui;Non
2017;44000;2000510;40.0;kg;Oui;Non
2017;44000;2010035;14.399999999999999;l;Oui;Non
2017;44000;2010410;5.75;kg;Oui;Non
2017;44000;2010513;6.0;kg;Non;Non
2017;44000;2020003;2.0;kg;Oui;Non
2017;44000;2020226;5.0;l;Non;Non
2017;44000;2020238;4.0;l;Oui;Non
2017;44000;2030125;1.22;l;Oui;Non
2017;44000;2030175;0.15;kg;Oui;Non
2017;44000;2030332;0.5;l;Oui;Non
2017;44000;2050146;10.100000000000001;l;Oui;Non
2017;44000;2060086;1.25;kg;Non;Non
2017;44000;2060131;8.0;l;Oui;Non
2017;44000;2060175;2.0;kg;Oui;Non
2017;44000;2080018;3.0;l;Oui;Non
2017;44000;2090033;0.05;l;Oui;Non
2017;44000;2090041;4.0;kg;Non;Non
2017;44000;2090072;0.2;kg;Non;Non
2017;44000;2090164;21.0;l;Oui;Non
2017;44000;2090174;20.0;l;Non;Non
2017;44000;2090199;2.0;l;Oui;Non
2017;44000;2090200;36.0;l;Oui;Non
2017;44000;2100004;10.0;l;Oui;Non
2017;44000;2100057;30.0;l;Non;Non
2017;44000;2100145;8400.0;l;Non;Non
2017;44000;2100165;0.7;l;Oui;Non
2017;44000;2110159;2.0;l;Oui;Non
2017;44000;2120034;30.0;l;Non;Non
2017;44000;2120048;12.0;l;Non;Non
2017;44000;2120129;1.25;l;Oui;Non
2017;44000;2120133;1.2799999999999998;l;Oui;Non
2017;44000;2120155;3.6;l;Oui;Non
2017;44000;2120174;2.0;l;Oui;Non
2017;44000;2130040;0.24;l;Oui;Non
2017;44000;2130125;160.0;kg;Oui;Non
2017;44000;2140166;2.0;l;Oui;Non
2017;44000;2140167;26.0;l;Oui;Non
2017;44000;2140193;2.0;l;Non;Non
2017;44000;2140252;2.5;kg;Oui;Non
2017;44000;2140254;45.0;l;Non;Non
2017;44000;2150011;3.0;l;Oui;Non
2017;44000;2159998;0.01;kg;Oui;Non
2017;44000;2160226;20.0;kg;Non;Non
2017;44000;2160487;2.0;l;Oui;Non
2017;44000;8400574;10.0;l;Non;Non
2017;44000;8600395;0.8;kg;Oui;Non
2017;44000;9000184;15.0;l;Non;Non
2017;44000;9000359;9.0;kg;Oui;Non
2017;44000;9100231;2.0;kg;Oui;Non
2017;44000;9100537;40.0;l;Non;Non
2017;44000;9100558;0.75;kg;Oui;Non
2017;44000;9200532;2.0;l;Oui;Non
2017;44000;9300189;0.2;l;Oui;Non
2017;44000;9500147;1.5999999999999999;kg;Oui;Non
2017;44000;9500595;3.0;l;Non;Non
2017;44000;9600386;0.2;kg;Oui;Non
2017;44000;9600550;9740.0;l;Non;Non
2017;44000;9900257;6.0;kg;Oui;Non
2017;44100;2010035;0.30000000000000004;l;Oui;Non
2017;44100;2010509;3.0;kg;Oui;Non
2017;44100;2020003;48.0;kg;Oui;Non
2017;44100;2040141;30.0;l;Non;Non
2017;44100;2060131;22.0;l;Oui;Non
2017;44100;2080098;0.03;l;Oui;Non
2017;44100;2090158;5.0;l;Non;Non
2017;44100;2090160;5.0;l;Non;Non
2017;44100;2090199;16.0;l;Oui;Non
2017;44100;2090200;52.0;l;Oui;Non
2017;44100;2100078;4.0;l;Oui;Non
2017;44100;2100165;4.0;l;Oui;Non
2017;44100;2110033;9.0;l;Oui;Non
2017;44100;2110040;3.0;kg;Oui;Non
2017;44100;2110149;24.0;l;Oui;Non
2017;44100;2110160;2.0;l;Oui;Non
2017;44100;2120034;60.0;l;Non;Non
2017;44100;2120089;144.0;l;Non;Non
2017;44100;2120155;10.799999999999999;l;Oui;Non
2017;44100;2140121;25.0;l;Oui;Non
2017;44100;9000471;25.0;l;Non;Non
2017;44100;9300189;0.2;l;Oui;Non
2017;44100;9500296;4.0;kg;Oui;Non
2017;44100;9500321;30.0;kg;Non;Non
2017;44100;9800235;5.0;l;Non;Non
2017;44100;9800402;10.0;l;Oui;Non
2017;44100;9900119;84.0;kg;Oui;Non
2017;44100;9900262;0.2;kg;Non;Non
2017;44110;2000003;10.0;l;Non;Non
2017;44110;2000044;60.0;l;Non;Non
2017;44110;2000201;49.13;l;Non;Non
2017;44110;2000202;40.0;l;Non;Non
2017;44110;2000299;42.0;l;Non;Non
2017;44110;2000301;270.0;l;Non;Non
2017;44110;2000332;13.32;l;Non;Non
2017;44110;2000369;2.1;kg;Non;Non
2017;44110;2000380;27.0;l;Non;Non
2017;44110;2010019;10.0;l;Non;Non
2017;44110;2010023;13.0;l;Non;Non
2017;44110;2010030;480.0;l;Non;Non
2017;44110;2010035;2.9999999999999996;l;Oui;Non
2017;44110;2010239;502.0;l;Non;Non
2017;44110;2010240;38.0;l;Non;Non
2017;44110;2010280;380.0;l;Non;Non
2017;44110;2010282;25.0;l;Non;Non
2017;44110;2010310;6.0;l;Non;Non
2017;44110;2010351;19.8;kg;Non;Non
2017;44110;2010419;27.0;kg;Non;Non
2017;44110;2010427;35.0;l;Non;Non
2017;44110;2010495;60.0;kg;Non;Non
2017;44110;2020014;10.0;l;Non;Non
2017;44110;2020021;20.0;l;Non;Non
2017;44110;2020099;22.5;l;Non;Non
2017;44110;2020224;3.5999999999999996;kg;Non;Non
2017;44110;2020226;20.0;l;Non;Non
2017;44110;2020474;190.0;l;Non;Non
2017;44110;2030073;1.0;kg;Non;Non
2017;44110;2030125;0.22;l;Oui;Non
2017;44110;2030131;1.0;kg;Non;Non
2017;44110;2030255;315.0;l;Non;Non
2017;44110;2030323;10.04;l;Non;Non
2017;44110;2030332;30.5;l;Oui;Non
2017;44110;2030342;200.0;l;Non;Non
2017;44110;2030404;660.0;l;Non;Non
2017;44110;2040141;30.0;l;Non;Non
2017;44110;2040146;42.879999999999995;l;Non;Non
2017;44110;2040310;40.0;l;Non;Non
2017;44110;2040330;20.0;kg;Oui;Non
2017;44110;2050046;1.0;kg;Non;Non
2017;44110;2050075;25.0;kg;Non;Non
2017;44110;2050146;4.8;l;Oui;Non
2017;44110;2060051;45.0;l;Non;Non
2017;44110;2060088;1515.0;l;Non;Non
2017;44110;2060115;90.0;l;Non;Non
2017;44110;2060118;80.0;l;Non;Non
2017;44110;2060127;1.24;l;Non;Non
2017;44110;2060131;72.0;l;Oui;Non
2017;44110;2060175;500.0;kg;Oui;Non
2017;44110;2060194;48.0;kg;Non;Non
2017;44110;2070221;96.0;l;Non;Non
2017;44110;2080026;212.0;l;Non;Non
2017;44110;2080094;40.879999999999995;kg;Non;Non
2017;44110;2080098;5.0;l;Oui;Non
2017;44110;2080101;1.0;kg;Non;Non
2017;44110;2080112;0.74;l;Non;Non
2017;44110;2080117;7.75;kg;Non;Non
2017;44110;2080123;2.7;kg;Non;Non
2017;44110;2080124;9.98;kg;Non;Non
2017;44110;2080125;1.4;kg;Non;Non
2017;44110;2080136;1.0;kg;Non;Non
2017;44110;2080145;474.0;l;Non;Non
2017;44110;2080147;20.0;l;Non;Non
2017;44110;2090001;65.0;l;Non;Non
2017;44110;2090008;26.680000000000003;l;Non;Non
2017;44110;2090011;30.0;l;Non;Non
2017;44110;2090016;180.0;l;Non;Non
2017;44110;2090037;42.8;kg;Non;Non
2017;44110;2090041;18.0;kg;Non;Non
2017;44110;2090042;117.14999999999999;kg;Non;Non
2017;44110;2090050;1632.0;kg;Non;Non
2017;44110;2090053;105.0;l;Non;Non
2017;44110;2090054;7.5;kg;Non;Non
2017;44110;2090057;37.2;kg;Non;Non
2017;44110;2090060;130.0;l;Non;Non
2017;44110;2090068;40.0;l;Non;Non
2017;44110;2090069;95.0;l;Non;Non
2017;44110;2090071;80.0;l;Non;Non
2017;44110;2090072;0.1;kg;Non;Non
2017;44110;2090080;140.0;l;Non;Non
2017;44110;2090101;130.0;l;Non;Non
2017;44110;2090111;5.61;l;Non;Non
2017;44110;2090113;780.0;l;Non;Non
2017;44110;2090114;2.0;kg;Non;Non
2017;44110;2090115;280.0;l;Non;Non
2017;44110;2090116;10.0;l;Non;Non
2017;44110;2090117;20.0;l;Non;Non
2017;44110;2090118;760.0;l;Non;Non
2017;44110;2090136;20.0;l;Non;Non
2017;44110;2090146;2.0;l;Oui;Non
2017;44110;2090153;60.0;kg;Non;Non
2017;44110;2090157;3.0;l;Non;Non
2017;44110;2090158;25.0;l;Non;Non
2017;44110;2090159;18.83;kg;Non;Non
2017;44110;2090160;3120.0;l;Non;Non
2017;44110;2090164;65.0;l;Oui;Non
2017;44110;2090171;20.0;l;Non;Non
2017;44110;2090173;465.0;l;Non;Non
2017;44110;2090186;2495.0;l;Non;Non
2017;44110;2100009;6.359999999999999;kg;Non;Non
2017;44110;2100015;1.44;kg;Non;Non
2017;44110;2100018;165.0;l;Non;Non
2017;44110;2100026;39.0;l;Non;Non
2017;44110;2100028;30.0;l;Non;Non
2017;44110;2100030;1000.0;kg;Non;Non
2017;44110;2100037;100.0;l;Non;Non
2017;44110;2100052;445.0;l;Non;Non
2017;44110;2100056;70.0;l;Non;Non
2017;44110;2100057;100.0;l;Non;Non
2017;44110;2100058;12.0;kg;Non;Non
2017;44110;2100069;22.2;kg;Non;Non
2017;44110;2100108;872.0;l;Non;Non
2017;44110;2100111;140.0;l;Non;Non
2017;44110;2100112;85.0;l;Non;Non
2017;44110;2100121;23.0;l;Non;Non
2017;44110;2100138;1660.0;l;Non;Non
2017;44110;2100140;2010.0;l;Non;Non
2017;44110;2100154;40.0;l;Non;Non
2017;44110;2100164;30.0;l;Non;Non
2017;44110;2100175;0.01;l;Non;Non
2017;44110;2100214;10.0;l;Non;Non
2017;44110;2100244;105.0;l;Non;Non
2017;44110;2100245;20.0;l;Non;Non
2017;44110;2110013;25.0;l;Non;Non
2017;44110;2110018;3.6;l;Non;Non
2017;44110;2110063;0.15;kg;Non;Non
2017;44110;2110068;160.0;l;Non;Non
2017;44110;2110078;110.0;l;Non;Non
2017;44110;2110082;2.4;kg;Non;Non
2017;44110;2110090;35.0;l;Non;Non
2017;44110;2110092;8.64;kg;Non;Non
2017;44110;2110096;60.0;l;Non;Non
2017;44110;2110102;449.1;l;Non;Non
2017;44110;2110105;692.0;l;Non;Non
2017;44110;2110109;510.0;l;Non;Non
2017;44110;2110115;20.0;l;Non;Non
2017;44110;2110121;66.55000000000001;l;Non;Non
2017;44110;2110140;24.0;l;Non;Non
2017;44110;2110143;1.0;l;Non;Non
2017;44110;2110152;1.0;l;Non;Non
2017;44110;2110153;920.0;l;Non;Non
2017;44110;2110162;45.0;l;Non;Non
2017;44110;2110167;179.0;l;Non;Non
2017;44110;2110170;670.0;l;Non;Non
2017;44110;2110177;1020.0;l;Non;Non
2017;44110;2110178;260.0;l;Non;Non
2017;44110;2110181;585.0;l;Non;Non
2017;44110;2110192;2.2;kg;Non;Non
2017;44110;2110194;110.0;l;Non;Non
2017;44110;2110198;660.0;l;Non;Non
2017;44110;2110201;105.0;l;Non;Non
2017;44110;2120014;30.0;l;Non;Non
2017;44110;2120034;240.0;l;Non;Non
2017;44110;2120041;29.91;l;Non;Non
2017;44110;2120048;264.0;l;Non;Non
2017;44110;2120049;4.0;l;Non;Non
2017;44110;2120059;15.0;l;Non;Non
2017;44110;2120066;160.0;l;Non;Non
2017;44110;2120070;140.0;l;Non;Non
2017;44110;2120075;480.0;l;Non;Non
2017;44110;2120089;9.0;l;Non;Non
2017;44110;2120117;20.0;l;Non;Non
2017;44110;2120133;0.18;l;Oui;Non
2017;44110;2120153;10.0;l;Non;Non
2017;44110;2120159;6.43;l;Non;Non
2017;44110;2120160;85.0;l;Non;Non
2017;44110;2120194;8.0;kg;Non;Non
2017;44110;2120205;510.0;l;Non;Non
2017;44110;2120210;105.0;l;Non;Non
2017;44110;2130063;225.0;l;Non;Non
2017;44110;2130067;5.0;l;Non;Non
2017;44110;2130068;57.0;l;Non;Non
2017;44110;2130069;51.0;l;Non;Non
2017;44110;2130075;100.0;kg;Non;Non
2017;44110;2130083;31.0;l;Non;Non
2017;44110;2130084;48.0;kg;Non;Non
2017;44110;2130085;45.0;kg;Non;Non
2017;44110;2130105;162.0;kg;Non;Non
2017;44110;2130151;0.07;kg;Oui;Non
2017;44110;2130155;5.0;l;Non;Non
2017;44110;2130164;310.0;l;Non;Non
2017;44110;2130202;280.0;l;Non;Non
2017;44110;2130247;10.0;l;Non;Non
2017;44110;2130251;60.0;l;Non;Non
