annee;code_postal_acheteur;amm;quantite_produit;conditionnement;eaj;achat_etranger
2017;13821;nc;nc;nc;nc;nc
2017;06320;nc;nc;nc;nc;nc
2017;13002;nc;nc;nc;nc;nc
2017;13950;nc;nc;nc;nc;nc
2017;83530;nc;nc;nc;nc;nc
2017;06590;nc;nc;nc;nc;nc
2017;06310;nc;nc;nc;nc;nc
2017;06520;nc;nc;nc;nc;nc
2017;13620;nc;nc;nc;nc;nc
2017;83240;nc;nc;nc;nc;nc
2017;83380;nc;nc;nc;nc;nc
2017;83430;nc;nc;nc;nc;nc
2017;13117;nc;nc;nc;nc;nc
2017;05340;nc;nc;nc;nc;nc
2017;13004;nc;nc;nc;nc;nc
2017;13470;nc;nc;nc;nc;nc
2017;04000;2000125;9.6;kg;Oui;Non
2017;04000;2010023;15.0;l;Non;Non
2017;04000;2010035;5.4;l;Oui;Non
2017;04000;2010321;2.0;l;Oui;Non
2017;04000;2010410;9.75;kg;Oui;Non
2017;04000;2010493;2.0;kg;Oui;Non
2017;04000;2010509;8.4;kg;Oui;Non
2017;04000;2020003;73.60000000000001;kg;Oui;Non
2017;04000;2020047;5.0;l;Oui;Non
2017;04000;2020065;0.02;kg;Oui;Non
2017;04000;2030125;8.1;l;Oui;Non
2017;04000;2030175;1.56;kg;Oui;Non
2017;04000;2030466;4.8;kg;Oui;Non
2017;04000;2050145;0.86;l;Oui;Non
2017;04000;2050146;3.2;l;Oui;Non
2017;04000;2060045;18.0;kg;Oui;Non
2017;04000;2060084;40.0;kg;Non;Non
2017;04000;2060131;0.4;l;Oui;Non
2017;04000;2060133;1.0;l;Non;Non
2017;04000;2080018;0.2;l;Oui;Non
2017;04000;2080054;3.6;l;Oui;Non
2017;04000;2090016;20.0;l;Non;Non
2017;04000;2090041;1.0;kg;Non;Non
2017;04000;2090050;24.0;kg;Non;Non
2017;04000;2090052;8.0;kg;Non;Non
2017;04000;2090060;30.0;l;Non;Non
2017;04000;2090070;7.5;kg;Non;Non
2017;04000;2090160;140.0;l;Non;Non
2017;04000;2090164;108.0;l;Oui;Non
2017;04000;2090171;100.0;l;Non;Non
2017;04000;2090176;40.0;l;Oui;Non
2017;04000;2100009;0.8;kg;Non;Non
2017;04000;2100030;120.0;kg;Non;Non
2017;04000;2100065;0.2;kg;Non;Non
2017;04000;2100078;0.9;l;Oui;Non
2017;04000;2100165;8.28;l;Oui;Non
2017;04000;2100235;60.0;l;Non;Non
2017;04000;2110018;9.2;l;Non;Non
2017;04000;2110102;1.9500000000000002;l;Non;Non
2017;04000;2110115;2.0;l;Non;Non
2017;04000;2110121;9.9;l;Non;Non
2017;04000;2110143;8.0;l;Non;Non
2017;04000;2110149;12.8;l;Oui;Non
2017;04000;2110150;1.6;l;Oui;Non
2017;04000;2110154;160.0;l;Non;Non
2017;04000;2120018;3.15;l;Oui;Non
2017;04000;2120034;80.0;l;Non;Non
2017;04000;2120063;2.0;l;Oui;Non
2017;04000;2120133;20.1;l;Oui;Non
2017;04000;2120219;3.0;l;Non;Non
2017;04000;2130054;6.0;l;Non;Non
2017;04000;2130061;0.8;l;Non;Non
2017;04000;2130081;80.0;kg;Non;Non
2017;04000;2130083;1.0;l;Non;Non
2017;04000;2130093;24.0;l;Oui;Non
2017;04000;2130153;7.2;l;Oui;Non
2017;04000;2130240;3.0;kg;Oui;Non
2017;04000;2140039;47.2;l;Non;Non
2017;04000;2140121;47.32;l;Oui;Non
2017;04000;2140166;18.0;l;Oui;Non
2017;04000;2140207;20.0;l;Non;Non
2017;04000;2140252;84.2;kg;Oui;Non
2017;04000;2140257;120.0;l;Non;Non
2017;04000;2150011;0.25;l;Oui;Non
2017;04000;2150012;1.0;l;Non;Non
2017;04000;2150790;10.35;kg;Oui;Non
2017;04000;2150964;170.0;kg;Non;Non
2017;04000;2159998;0.1;kg;Oui;Non
2017;04000;2160479;20.0;l;Non;Non
2017;04000;5100219;50.0;kg;Non;Non
2017;04000;7700078;55.0;l;Non;Non
2017;04000;7700216;110.0;l;Non;Non
2017;04000;7700706;18.0;kg;Oui;Non
2017;04000;7800790;165.0;l;Non;Non
2017;04000;8300032;1.68;l;Oui;Non
2017;04000;8400574;190.0;l;Non;Non
2017;04000;8600063;0.4;kg;Oui;Non
